Nome_Unidade,UF_Unidade
COORDENADORIA ESTADUAL NO CEARA,CE
COORDENADORIA ESTADUAL EM SERGIPE,SE
COORDENADORIA ESTADUAL NA PARAIBA,PB
ADMINISTRACAO DE PESSOAL,RJ
COORDENACAO DE GESTAO DE PESSOAS,PA
DIRETORIA DE ADMINISTRACAO,PE
DIRETORIA DE ADMINISTRACAO,DF
DIRETORIA GERAL - CAMPUS CURITIBA,PR
REITORIA DO IFPB,PB
SEC DE RECURSOS HUMANOS/CHAPECO,SC
SEC DE RECURSOS HUMANOS/CANOAS,RS
SEC DE RECURSOS HUMANOS/PIRACICABA,SP
SEC DE PROD E GEST DA FOLHA DE PAG/NORTE,DF
SEC DE RECURSOS HUMANOS/MANAUS,AM
SEC DE RECURSOS HUMANOS/VITORIA,ES
SEC DE RECURSOS HUMANOS/GOIANIA,GO
SEC OPERAC DA GESTAO DE PESSOAS/SINOP,MT
SEC DE RECURSOS HUMANOS/BELO HORIZONTE,MG
SEC DE RECURSOS HUMANOS/BARBACENA,MG
SEC DE PROD E GEST DA FOLHA DE PAG- BH,MG
SEC DE RECURSOS HUMANOS/UBERLANDIA,MG
SEC DE RECURSOS HUMANOS/BELEM,PA
SEC DE RECURSOS HUMANOS/CURITIBA,PR
SEC DE RECURSOS HUMANOS/RECIFE,PE
SEC DE PROD E GEST DA FOLHA DE PAG-SUL,SC
SEC DE PROD E GEST DA FOLHA PAG/NORDESTE,PE
SEC DE RECURSOS HUMANOS/RJ NORTE,RJ
SEC DE RECURSOS HUMANOS/CAMP GOYTACAZES,RJ
SEC DE RECURSOS HUMANOS/PETROPOLIS,RJ
SEC DE RECURSOS HUMANOS/IJUI,RS
SEC DE RECURSOS HUMANOS/JOINVILLE,SC
SEC DE RECURSOS HUMANOS/RIBEIRAO PRETO,SP
SEC DE RECURSOS HUMANOS/S JOSE RIO PRETO,SP
SEC DE RECURSOS HUMANOS/SAO PAULO LESTE,SP
SEC DE RECURSOS HUMANOS/ARACATUBA,SP
SEC DE RECURSOS HUMANOS/SANTO ANDRE,SP
SEC DE RECURSOS HUMANOS/SAO PAULO SUL,SP
SEC DE RECURSOS HUMANOS/PRES PRUDENTE,SP
SEC DE PROD E GESTAO DA FOLHA PAG/SP,SP
SEC DE RECURSOS HUMANOS/SOROCABA,SP
SEC DE RECURSOS HUMANOS/ARARAQUARA,SP
SEC DE RECURSOS HUMANOS/MARILIA,SP
SEC DE RECURSOS HUMANOS/GOVERNADOR VALAD,MG
SEC DE RECURSOS HUMANOS/ S JOSE CAMPOS,SP
SEC DE RECURSOS HUMANOS/PASSO FUNDO,RS
SEC DE RECURSOS HUMANOS/SANTA MARIA,RS
